Название гостиницы;Район;Ближайшая станция метро;Адрес;Категория гостиницы;Инвестор;Оператор (бренд);Количество номеров;Дата ввода в эксплуатацию;Максимальная стоимость;Телефон;Услуги;Услуги в номере;Сайт;Электронный адрес;Кадастровый номер;Количество мест;Примечание;Источник данных;Муниципальное образование
"Фриденталь";"Пушкинский";"Купчино";"196600, Санкт-Петербург, город Пушкин, Московское шоссе, дом 10, литера А";"Мини-гостиница";"Фриденталь";"";"5";"2009";"3 400";"4760041, 4700217";"аренда автомобилей, визовая поддержка, рестораны, автостоянка, заказ такси, камера хранения багажа, заказ авиа и ж/д билетов, организация туров и экскурсий";"телефон, телевизор, спутниковое ТВ, холодильник, банные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, рабочий стол, душ, ванна";"http://www.friedental.ru/";"mailto: hotelfrtl@mail.ru";"18109Ж:3001:24";"10";"";"Комитет по инвестициям";"город Пушкин"
"Натали";"Пушкинский";"Купчино";"196600, Санкт-Петербург, город Пушкин, Малая улица, дом 56а, литера А";"3*";"Арсенал";"Натали";"46";"2003";"3 400";"4660277, 466 2768";"аренда конференц-залов, рестораны, автостоянка, заказ такси, фитнес-клуб, салон красоты, сувенирные магазины, камера хранения багажа, заказ авиа и ж/д билетов, организация туров и экскурсий, услуги бизнес центра, прачечная химчистка, бронирование и заказ";"сейф, кондиционер, радио, телефон, голосовая почта, мини-бар, телевизор, фен, круглосуточное обслуживание в номере, размещение домашних животных, рабочий стол, туалет, ванная комната, спутниковое тв, интернет WiFi, халат тапочки банные принадлежности, зво";"http://www.hotelnatali.ru";"mailto: mail@hotelnatali.ru";"18117:4:26";"76";"";"Комитет по инвестициям";"город Пушкин"
"Альянс";"Пушкинский";"Купчино";"196600, Санкт-Петербург, город Пушкин, Средняя улица, дом 6/1, литера А";"Мини-гостиница";"Альянс";"Альянс";"9";"2005";"";"4764353";"телефон";"туалет, ванная комната";"нет";"нет";"18116А:1:1";"21";"";"Комитет по инвестициям";"город Пушкин"
"КЕЧ";"Пушкинский";"Купчино";"Санкт-Петербург, город Пушкин, Красносельское шоссе, дом 4, литера А";"3*";"КЕЧ";"";"62";"";"1 700";"4654711";"телефон";"телевизор, постельные принадлежности";"нет";"нет";"18239:0:18";"104";"";"Комитет по инвестициям";"город Пушкин"
"Комплексный центр социального обслуживания населения";"Пушкинский";"Купчино";"Санкт-Петербург, город Пушкин, Октябрьский бульвар, дом 24, литера А";"Эконом класс";"СПб ГУ "Комплексный центр социального обслуживания населения Пушкинского района"";"";"14";"1980";"1 000";"4666298";"автостоянка, камера хранения багажа";"туалет, ванная";"нет";"mailto: ou@tupush.gov.spb.ru";"18107:0:32";"28";"";"Комитет по инвестициям";"город Пушкин"
"Гостиница в особняке Кочубея (ГУЦПР)";"Пушкинский";"Купчино";"Санкт-Петербург, город Пушкин, улица Радищева, дом 4, литера А";"3*";"Кочубей";"";"116";"1991";"3 400";"4653910, 4652155, 4495430";"аренда конференц-залов, рестораны";"мебель, постельное белье, мини-холодильник, ванная комната с душевой кабиной, телефизор со спутниковыми каналами, телефон, интернет Wi-Fi";"http://www.congresscomplex.ru";"mailto: congresscomplex@gmail.com";"18204:5:26";"200";"";"Комитет по инвестициям";"город Пушкин"
"Правый берег";"Невский";"улица Дыбенко";"193168, г.Санкт-Петербург, улица Антонова-Овсеенко, дом 1, корпус 2, литера А";"Мини-гостиница";"Правый берег";"";"7";"2010";"2 400";"+79218907795, 5888594";"автостоянка, заказ такси, камера хранения багажа, прачечная, химчистка";"телефон, фен, утюг, кофеварка/ электрический чайник, гладильные принадлежности, звонок-«будильник»/ Будильник, кухня, душ, туалет";"http://www.pbhotel.ru/";"mailto: spbotel@yandex.ru";"6307:00:23";"13";"";"Комитет по инвестициям";"муниципальный округ №55"
"Алекс-Отель";"Невский";"Улица Дыбенко";"193168, г.Санкт-Петербург, улица Антонова-Овсеенко, дом 18, литера А";"Мини-гостиница";"Алекс Отель";"Сеть-Алекс";"9";"2009";"4 600";"4687777";"аренда автомобилей, визовая поддержка, рестораны, автостоянка, заказ такси, камера хранения багажа, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"сейф, кондиционер, телефон, мини-бар, телевизор, спутниковое ТВ, интернет Wi-Fi, фен, утюг, холодильник, кофеварка/ электрический чайник, халат, тапочки, банные принадлежности, гладильные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслу";"http://www.motelspb.com/,  http://www.alexhotels.ru";"mailto: aleks-hotel@mail.ru";"6308А:3002:16";"18";"";"Комитет по инвестициям";"муниципальный округ №55"
"Коллонтай";"Невский";"Проспект Большевиков";"193312, г.Санкт-Петербург, улица Коллонтай, дом 31, корпус 1, литера А";"Эконом класс";"Коллонтай";"";"22";"2008";"2 300";"5747227";"аренда автомобилей, визовая поддержка, рестораны, автостоянка, заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"телефон, телевизор, холодильник, банные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, рабочий стол, душ, ванна, туалет";"http://www.kollontay-spb.ru/";"mailto: unimarket_07@bk.ru";"6314:21:65";"45";"";"Комитет по инвестициям";"муниципальное образование Оккервиль"
"Околица";"Невский";"Проспект Большевиков";"193231, г.Санкт-Петербург, проспект Пятилеток, дом 8, корпус 1, литера А";"Мини-гостиница";"Околица";"";"11";"2004";"2 600";"4407284, 4406671";"аренда автомобилей, визовая поддержка, услуги бизнес-центра, рестораны, автостоянка, заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"телефон, мини-бар, телевизор, банные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, рабочий стол, душ";"нет";"mailto: otelokolica@hotmail.com";"6320:14:02";"22";"";"Комитет по инвестициям";"муниципальный округ Правобережный"
"Речная";"Невский";"Пролетарская";"192131, г.Санкт-Петербург, проспект Обуховской Обороны, дом 195, литера А";"3*";"";"";"480";"";"";"2628899";"аренда конференц-залов, аренда автомобилей, визова";"";"http://www.allinform.ru/gourl.php?orgID=13656";"";"7149А:2:18";"0";"";"Комитет по инвестициям";"муниципальный образование Обуховский"
"Белые ночи";"Невский";"улица Дыбенко";"г.Санкт-Петербург, проспект Большевиков, дом 54, корпус 1, литера А";"Эконом класс";"Белые ночи";"Белые ночи";"160";"1991";"2 000";"4462104";"аренда конференц-залов, аренда автомобилей, визовая поддержка, услуги бизнес-центра, рестораны, автостоянка, заказ такси, салон красоты, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий";"телефон, телевизор, холодильник, банные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, рабочий стол, душ, ванна";"нет";"нет";"6351:80:27";"350";"";"Комитет по инвестициям";"муниципальный округ Народный"
"Лицейская";"Невский";"Ломоносовская";"193315, г.Санкт-Петербург, Дальневосточный проспект, дом 51, литера А";"Хостел";"ГОУ СПО Российский колледж традиционной культуры Санкт-Петербурга";"Учебная гостиница Российского колледжа традиционной культуры";"98";"2000";"1 700";"446 7475, 446 8176";"автостоянка, заказ такси, фитнес-клуб, салон красоты, сувенирные магазины, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"телефон, телевизор, фен, утюг, звонок-«будильник»/ Будильник, размещение домашних животных, кухня, рабочий стол";"нет";"нет";"6335Б:8:3";"460";"";"Комитет по инвестициям";"муниципальный округ Народный"
"Винтаж";"Невский";"Пролетарская";"192012, г.Санкт-Петербург, проспект Обуховской Обороны, дом 261, литера А";"3*";"Группа Отелей Евразия";"Группа Отелей Евразия";"27";"2010";"3 400";"3626560";"комната хранения багажа, вызов такси, заказ авиа и ж/д билетов, заказ билетов в театры и на концерты, Интернет Wi-Fi, визовая поддержка, трансфер, организация экскурсий, услуги гида-переводчика, кафе";"кондиционер, телефон, телевизор, сутниковое ТВ, интернет Wi-Fi, фен, банные принадлежности";"http://www.eurasia-hotel.ru/vintage/";"mailto: vintage@eurasia-hotel.ru";"7158:1004:6";"64";"";"Комитет по инвестициям";"муниципальный образование Обуховский"
"Амантай";"Невский";"Рыбацкое";"192076, г.Санкт-Петербург, Рыбацкий проспект, дом 23/2, литера А";"Мини-гостиница";"УКО-Анкер";"";"14";"2005";"2 000";"7079484";"аренда автомобилей, визовая поддержка, услуги бизнес-центра, рестораны, автостоянка, заказ такси, фитнес-клуб, салон красоты, сувенирные магазины, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, брони";"телефон, телевизор, кабельное ТВ, фен, утюг, холодильник, кофеварка/ электрический чайник, банные принадлежности, гладильные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, кухня, рабочий стол, душ, ванна, туалет, ванн";"http://www.amantay.spb.ru/";"нет";"7204:03:25";"60";"";"Комитет по инвестициям";"муниципальный округ №52"
"Славянка";"Невский";"Рыбацкое";"г.Санкт-Петербург, Шлиссельбургский проспект, дом 9";"Мини-гостиница";"Славянка";"";"7";"2004";"3 000";"5778533";"заказ такси, камера хранения багажа,  автостоянка";"телефон, телевизор, кабельное ТВ, холодильник, банные принадлежности, рабочий стол, ванна, туалет, ванная комната";"нет";"mailto: hotelslavyanka@yandex.ru";"7202:00:49";"12";"";"Комитет по инвестициям";"муниципальный округ №52"
"Гостевой Дом";"Невский";"Пролетарская";"г.Санкт-Петербург, Рабфаковская улица, дом 3, корпус 3, литера И";"Эконом класс";"Гостевой дом";"";"17";"2007";"2 700";"367-35-20";"континентальный завтрак";"телевизор, телефон, санузел, душевая кабина";"http://www.forshotel.ru/  ";"mailto: forshotel@bk.ru";"7159:00:43";"50";"";"Комитет по инвестициям";"муниципальный образование Обуховский"
"Ижора";"Колпинский";"Рыбацкое";"189631, Санкт-Петербург, поселок Металлострой, Железнодорожная улица, дом 11а, литера А";"3*";"Мираж";"Мираж";"56";"1991";"3 400";"4642576, 4642579";"автостоянка, заказ такси, камера хранения багажа, прачечная, химчистка";"сейф, телевизор, холодильник, кофеварка/ электрический чайник, халат, тапочки, банные принадлежности, рабочий стол, туалет, ванная комната";"http://www.izhora-spb.ru/";"mailto: info@izhora-spb.ru";"17417:9:11";"127";"";"Комитет по инвестициям";"поселок Металлострой"
"Рубин";"Колпинский";"Рыбацкое";"196650, Санкт-Петербург, город Колпино, улица Братьев Радченко, дом 5, литера А";"Мини-гостиница";"Рубин";"";"8";"2005";"3 400";"7038777";"заказ такси, прачечная, химчистка";"телефон, телевизор, фен, утюг, кофеварка/ электрический чайник, халат, тапочки, банные принадлежности, рабочий стол, туалет, ванная комната";"http://www.hotel-rubin.spb.ru";"mailto: kolpinodom@mail.ru";"17111:12:10";"16";"";"Комитет по инвестициям";"город Колпино"
"Энергетик. Общежитие гостиничного типа при ГОУ "Петербургский энергетический институт повышения квалификации"";"Красносельский";"Автово";"г.Санкт-Петербург, Ленинский проспект, дом 89, литера А";"Эконом класс";"Энергетик при Санкт-Петербургском энергетическом институте";"ФГОУ ДПО ПЭИПК";"210";"1985";"2 700";"7512559";"заказ такси, камера хранения багажа";"душ, туалет";"http://www.peipk.spb.ru/";"mailto: hotel@peipk.spb.ru";"8307:06:53";"400";"";"Комитет по инвестициям";"муниципальный округ Юго-Запад"
"Визит";"Красносельский";"Ленинский проспект";"г.Санкт-Петербург, проспект Маршала Жукова, дом 43, корпус 2, литера А";"Мини-гостиница";"Санкт-Петербургская академия права и бизнеса";"Санкт-Петербургская академия права и бизнеса";"12";"1992";"1 670";"7438714";"камера хранения";"туалет, ванная";"нет";"mailto: hotel.vizit@mail.ru";"8307:07:06";"24";"";"Комитет по инвестициям";"муниципальный округ Юго-Запад"
"Юго-Западная";"Красносельский";"Проспект Ветеранов";"198328, г.Санкт-Петербург, улица Рихарда Зорге, дом 11, литера А";"Эконом класс";"Ира";"Ира";"27";"2003";"1 870";"7456686";"рестораны, автостоянка, заказ такси, фитнес-клуб, салон красоты, прачечная, химчистка";"кондиционер, телевизор, спутниковое ТВ, интернет Wi-Fi, халат, тапочки, банные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, туалет, ванная комната";"http://www.motelspb.ru/";"mailto: motel@motelspb.ru";"8308:01:11";"56";"";"Комитет по инвестициям";"муниципальный округ Южно-Приморский"
"Уют";"Кировский";"Проспект Ветеранов";"г.Санкт-Петербург, улица Лени Голикова, дом 2, литера А";"Мини-гостиница";"Дельфин";"Дельфин";"8";"2005";"1 980";"7534018";"заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов";"телефон, телевизор, фен, холодильник, халат, тапочки, банные принадлежности, рабочий стол, туалет, ванная комната";"нет";"нет";"8431:0:82";"19";"";"Комитет по инвестициям";"муниципальный округ №27"
"На Ленинском";"Красносельский";"Ленинский проспект";"г.Санкт-Петербург, Ленинский проспект, дом 81, корпус 1, литера А";"Мини-гостиница";"Бинго";"Ира";"12";"2008";"3 700";"7421998";"рестораны, автостоянка, заказ такси, фитнес-клуб, салон красоты, прачечная, химчистка";"кондиционер, телевизор, спутниковое ТВ, интернет Wi-Fi, халат, тапочки, банные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, туалет, ванная комната";"http://www.motelspb.ru/";"mailto: motel@motelspb.ru";"8313:00:10";"24";"";"Комитет по инвестициям";"муниципальный округ Южно-Приморский"
"Общежитие гостиничного типа ГУАП";"Кировский";"Автово";"г.Санкт-Петербург, проспект Маршала Жукова, дом 24, литера А";"Мини-гостиница";"ГОУ ВПО  СПбГУАП";"";"4";"1995";"1 000";"7572844";"автостоянка, прачечная, химчистка";"радио, телефон, фен, утюг, звонок-«будильник»/ будильник, кухня, туалет";"нет";"нет";"8301А:21:63";"8";"";"Комитет по инвестициям";"муниципальный округ №30"
"Ринго";"Кировский";"Проспект Ветеранов";"г.Санкт-Петербург, проспект Народного Ополчения, дом 137, корпус 1, литера А";"Мини-гостиница";"";"";"0";"";"";"+7 (812) 324-32-2";"кухня, стиральная машина, газовая плита, холодильник, микроволновая печь, электрочайник, кофе-аппарат, комплект кухонной посуды.";"";"";"";"8436:08:10";"0";"";"Комитет по инвестициям";"муниципальный округ №27"
"Поли плюс";"Московский";"Московская";"г.Санкт-Петербург, Новоизмайловский проспект, дом 38, корпус 1";"Хостел";"";"";"1";"05.2006";"";"3695588, 267 3175";"автостоянка, заказ такси, фитнес-клуб, салон красо";"";"нет";"";"7548:0:102";"0";"";"Комитет по инвестициям";"муниципальное образование Новоизмайловское"
"Такси-Блюз";"Кировский";"Автово";"г.Санкт-Петербург, Краснопутиловская улица, дом 69, литера А";"Мини-гостиница";"Такси-Блюз";"";"40";"";"1 900";"7 843 974";"визовая поддержка, услуги бизнес-центра, рестораны, автостоянка, заказ такси, салон красоты, заказ авиа и ж/д билетов, фитнес клуб, химчистка";"радио, мини-бар, телевизор, видео, холодильник, рабочий стол, кабельное тв, ванная,  туалет";"http://www.taksi-blyuz.ru";"mailto: taksi-blyuz@yandex.ru";"8415А:8:1";"80";"";"Комитет по инвестициям";"муниципальный округ №28"
"Инпред сервис";"Кировский";"Проспект Ветеранов";"г.Санкт-Петербург, Ленинский проспект, дом 115, литера А";"Эконом класс";"СПб ГУП "ИНПРЕДСЕРВИС"";"";"26";"2000";"3 600";"7538065";"камера хранения багажа, прачечная, химчистка";"телефон, телевизор, фен, холодильник, халат, тапочки, банные принадлежности, рабочий стол, туалет, ванная комната";"http://www.inpredservice.ru/";"mailto: info@inpredservice.ru";"8409:00:38";"54";"";"Комитет по инвестициям";"муниципальный округ №27"
"Учебная гостиница Морского технического колледжа";"Кировский";"Проспект Ветеранов";"г.Санкт-Петербург, проспект Народного Ополчения, дом 189, корпус 1, литера А";"3*";"Морской технический колледж";"";"39";"2004";"";"7503787, 7502983";"визовая поддержка, заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов";"телефон, телевизор, фен, холодильник, халат, тапочки, банные принадлежности, рабочий стол, туалет, ванная комната";"нет";"mailto: mtk_gostinica@mail.ru";"8441А:0:22";"97";"";"Комитет по инвестициям";"муниципальный округ №26"
"Пулково";"Московский";"Московская";"г.Санкт-Петербург, Штурманская улица, дом 24, литера А";"3*";"Пулково";"Пулково";"101";"1969";"3 400";"7041162";"аренда автомобилей, визовая поддержка, рестораны, автостоянка, заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов";"телефон, телевизор, кабельное ТВ, холодильник, банные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, рабочий стол, ванна, туалет, ванная комната";"http://www.pulkovoairport.ru/";"mailto: hotel_res@pulkovo.ru";"7703:02:17";"194";"";"Комитет по инвестициям";"муниципальный округ Пулковский меридиан"
"Парк Инн Пулковская";"Московский";"Московская";"г.Санкт-Петербург, площадь Победы, дом 1, литера А";"4*";"Парк Инн Пулковская";"Rezidor Hotel Group (Park Inn)";"840";"1981";"7 600";"7403900";"аренда конференц-залов, аренда автомобилей, визовая поддержка, услуги бизнес-центра, рестораны, автостоянка, заказ такси, фитнес-клуб, салон красоты, сувенирные магазины, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация";"сейф, кондиционер, радио, телефон, телевизор, спутниковое ТВ, кабельное ТВ, видео, интернет кабельный, фен, утюг, холодильник, кофеварка/ электрический чайник, халат, тапочки, банные принадлежности, гладильные принадлежности, звонок-«будильник»/ Будильник";"http://www.pulkovskaya-park-inn.ru/";"mailto: reservations.ledpd@rezidorparkinn.com";"7688:05:13";"0";"";"Комитет по инвестициям";"муниципальный округ Пулковский меридиан"
"Мир";"Московский";"Парк Победы";"196135, г.Санкт-Петербург, улица Гастелло, дом 17, литера А";"3*";"Мир";"Мир";"167";"1964";"3 400";"7085166";"аренда конференц-залов, аренда автомобилей, визовая поддержка, рестораны, автостоянка, заказ такси, сувенирные магазины, камера хранения багажа, медицинский кабинет";"телефон, телевизор, спутниковое ТВ, холодильник, банные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, рабочий стол, душ, ванна";"http://www.hotelmir.spb.ru";"mailto: priem@hotelmir.spb.ru";"7651:03:23";"260";"";"Комитет по инвестициям";"муниципальное образование Звездное"
"Немецкий клуб";"Московский";"Парк Победы";"г.Санкт-Петербург, улица Гастелло, дом 20, литера А";"Эконом класс";"Немецкий клуб";"";"16";"1994";"";"3715104";"аренда конференц-залов, аренда автомобилей, визовая поддержка, услуги бизнес-центра, рестораны, автостоянка, заказ такси, фитнес-клуб, салон красоты, сувенирные магазины, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация";"сейф, кондиционер, телефон, телевизор, спутниковое ТВ, интернет Wi-Fi, фен, холодильник, кофеварка/ электрический чайник, халат, банные принадлежности, гладильные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, рабочий";"http://www.hotelgermanclub.com/";"mailto: info@hotelgermanclub.com";"7643:18:10";"32";"";"Комитет по инвестициям";"муниципальное образование Московская застава"
